Step,Susceptible,Infected,Removed,R0,Viral Load Tree,Incidence,Recovery,Days,Incidence Sum,Incidence Days
841,9568,391,41,5,"{(6878, 5660): (125.77, 279.42, 27946.178966067437, 840, 63), (7784, 3068): (161.85, 53.2, 5238.130551474497, 840, 104), (2164, 2170): (203.76, 84.45, 8450.70107196337, 840, 92)}",3.0,0.0,28.033333333333335,3.0,0
842,9566,393,41,5,"{(7160, 7692): (73.0, 259.72, 25788.017095071085, 841, 65), (7906, 6213): (265.58, 124.54, 12335.661549585577, 841, 83)}",2.0,0.0,28.066666666666666,2.0,0
843,9563,396,41,5,"{(4939, 732): (78.81, 67.54, 6695.822043566148, 842, 98), (864, 9902): (301.1, 298.69, 29898.759348158146, 842, 62), (4267, 5712): (174.37, 227.95, 22738.604636783624, 842, 68)}",3.0,0.0,28.1,3.0,0
844,9561,398,41,5,"{(616, 3162): (170.37, 76.69, 7760.002167868161, 843, 95), (8131, 1187): (53.9, 72.86, 7291.75494742382, 843, 96)}",2.0,0.0,28.133333333333333,2.0,0
845,9559,400,41,5,"{(9222, 8355): (211.05, 175.59, 17697.479773434097, 844, 74), (799, 9699): (52.04, 182.32, 18331.12411308378, 844, 73)}",2.0,0.0,28.166666666666668,2.0,0
846,9558,401,41,5,"{(5492, 6176): (75.32, 234.1, 23639.931734336402, 845, 67)}",1.0,0.0,28.2,1.0,0
847,9556,403,41,5,"{(3323, 4271): (86.35, 53.68, 5384.0316297544505, 846, 104), (2459, 1961): (282.53, 313.07, 31225.62823714564, 846, 61)}",2.0,0.0,28.233333333333334,2.0,0
848,9555,404,41,5,"{(7583, 9534): (287.98, 60.79, 6090.519065846108, 847, 101)}",1.0,0.0,28.266666666666666,1.0,0
849,9551,408,41,5,"{(5266, 8016): (63.37, 105.56, 10471.888920799207, 848, 87), (1607, 2055): (266.18, 90.34, 9014.247067283042, 848, 91), (8688, 9372): (245.99, 134.51, 13569.43469118055, 848, 81), (26, 5452): (95.69, 59.8, 6084.377662190325, 848, 101)}",4.0,0.0,28.3,4.0,0
850,9549,410,41,5,"{(799, 4614): (52.04, 164.36, 16344.280561424679, 849, 76), (8015, 9874): (51.63, 247.28, 24618.159353755455, 849, 66)}",2.0,0.0,28.333333333333332,2.0,0
851,9546,413,41,5,"{(5045, 1652): (203.74, 236.04, 23502.79567745557, 850, 67), (8131, 3742): (53.9, 55.64, 5598.611301376496, 850, 103), (2694, 8336): (172.79, 281.38, 27901.714008368523, 850, 63)}",3.0,0.0,28.366666666666667,3.0,0
852,9545,414,41,5,"{(5224, 5958): (93.63, 121.13, 12096.840026539852, 851, 83)}",1.0,0.0,28.4,1.0,0
853,9543,416,41,5,"{(250, 2133): (174.84, 95.9, 9455.952788677441, 852, 89), (799, 7989): (52.04, 153.41, 15145.469660827932, 852, 78)}",2.0,0.0,28.433333333333334,2.0,0
854,9542,417,41,5,"{(266, 3211): (103.02, 89.7, 8936.256783626806, 853, 91)}",1.0,0.0,28.466666666666665,1.0,0
855,9540,419,41,5,"{(6878, 7911): (125.77, 241.7, 24266.129140612877, 854, 67), (7135, 8554): (237.97, 283.12, 28370.25859030458, 854, 63)}",2.0,0.0,28.5,2.0,0
